ID,Name,Price,Quantity,Category
116,"Oale HOT 40i -  6.6"" 128GB (64GB ROM + 64GB SD Card), 3GB RAM, 8MP, 5075mAh, 3G  - Black","KSh 7,890",20,Phones & Tablets
117,"Tecno POP 7,  6.6"" Display, 64GB + Up To 4GB RAM, 5000mAh, 8MP, Endless Black","KSh 10,480",250,Phones & Tablets
118,"Samsung Galaxy A15, 6.5"", 128GB + 4GB RAM (Dual SIM), 5000mAh, Light Blue","KSh 17,499",355,Phones & Tablets
119,"Oppo A18,6.6"",64GB+4GB, 8MP, 90Hz, 5000mAh (Dual Sim) Glowing Blue, (2YRs WRTY)","KSh 12,708",220,Phones & Tablets
120,"TCL 43S5400 S Series, 43"" Full HD Smart TV - Black","KSh 26,315",344,Electronics
121,"Skyworth 43E5500G, 43-inches Full HD 2024 Frameless Google TV, Black (1YR WRTY)","KSh 26,999",469,Electronics
122,"Amtec 43L12, 43"" FHD Smart Android TV, Netfix, Youtube, Bluetooth - Black (1 YR WRTY)","KSh 19,599",402,Electronics
123,Hisense 43A4K Smart 43 inches TV (2YRs WRTY),"KSh 30,499",363,Electronics
124,Hikers 43'' Inch Frameless Android Smart FHD LED TV - Black,"KSh 18,820",58,Electronics
125,"Vision Plus VP8843SF - 43"" FHD Frameless Android OS Smart TV - Black (2YRs WRTY)","KSh 21,399",249,Electronics
126,"TCL 50"" P635 4K HDR Google TV - Black","KSh 40,999",496,Electronics
127,"Skyworth 50SUE9500, 50-inches 4K QLED 2022 Frameless Smart Android TV, Black (1YR WRTY)","KSh 43,199",359,Electronics
128,"Amtec 32R1S, 32"" Inch Smart Android Frameless LED TV With Bluetooth, (1YR WRTY)","KSh 11,599",467,Electronics
129,Hisense 32 Inch 32A4KKEN Smart tv (2YRs WRTY),"KSh 18,199",351,Electronics
130,Vitron HTC5068US 50” Smart Android 4K UHD LED TV - Black (1YR WRTY),"KSh 35,330",479,Electronics
131,"TCL 50"" C645&nbsp;QLED 4K Quantum Dot Google TV Smart TV - Black","KSh 52,299",416,Electronics
132,"Hisense 55"" Inch (55A6K) VIDAA OS LED Frameless Smart TV - Black (2YRS WRTY)","KSh 51,527",146,Electronics
133,"Amtec 65"" 4k  HDR Smart WebOS  LED TV, Frameless With Bluetooth & Dolby Audio.(1YR WRTY)","KSh 63,999",328,Electronics
134,"Skyworth 55G3B, 55-inches 4K QLED 2022 Frameless Smart Android TV, Black (1YR WRTY)","KSh 53,499",235,Electronics
135,Nunix K1S Hot & Normal Standing Water Dispenser – White,"KSh 3,465",491,Home & Office
136,Sunlight Solar 200W Solar Panel Full Kit +100Ah Solar Battery +600W Solar Power Inverter + 20 Ah Solar Charge Controller +5 DC Bulbs + Extension + 10m Cable,"KSh 16,684",499,Garden & Outdoors
137,Nice One Stainless Steel Vacuum Flask High-Quality Thermos - 1.8 L - Silver,KSh 859,467,Home & Office
138,Rashnik Electric Water Dispenser Pump,KSh 429,205,Home & Office
139,Sundabest 6 Pc White Floral Tea Cups. (5831),KSh 313,163,Home & Office
140,"HOMMY Portable Wardrobe, 3 Column - Gray Cover","KSh 2,350",246,Home & Office
141,Sunlight Solar 500 Watts Solar Panel Mono All Weather 500Watts Solar Panel  25 Years Warranty+ 10AH Solar Power Charge Controller,"KSh 13,800",344,Garden & Outdoors
142,Nunix Table Top Hot And Cold Water Dispenser Z4C,"KSh 4,620",392,Home & Office
143,Sun King Pico Plus Pack Of 2 SolarLight,"KSh 1,991",325,Home & Office
144,"Rashnik 22"" 3 Layer S.S. Dish Rack","KSh 2,040",54,Home & Office
145,Nunix 6L Electric Chips Deep Fryer,"KSh 4,680",412,Home & Office
146,Ecoa Char Stove,"KSh 3,273",76,Home & Office
147,Nunix Baking batter dispenser,KSh 120,397,Home & Office
148,Rashnik Instant heater shower head,"KSh 1,619",465,Home & Office
149,"Superfoam Morning Glory Fiber Pillow ( 100% Pure Fiber, Soft Feel) 68 Cm X 43 Cm)",KSh 429,81,Home & Office
150,Fashion Women Sneakers Ladies Shoes Women.,KSh 521,248,Fashion
151,Fashion Mens Sneakers Shoes Sports Shoes Breathable Running Shoes,"KSh 1,000 - KSh 1,100",59,Fashion
152,Fashion Ladies Sneakers Breathable-White,KSh 763,139,Fashion
153,Fashion Slipon Shoes Loafers Shoes Canvas Shoes Casual Shoes Mens Sneaker Black,KSh 729 - KSh 799,51,Fashion
154,Fashion Women's Shoes Sneakers Women Shoes Ladies,KSh 539,58,Fashion
155,Fashion Lace Up Sneakers Men's Shoes-Blue/Beige,"KSh 1,390",437,Fashion
156,Fashion Couple Canvas Low Top Lace-up Shoes Classic Casual Sneakers Black,KSh 820,41,Fashion
157,Fashion Lace Up Sneakers Men's Shoes-Black,KSh 590,171,Fashion
158,Fashion Sneakers Women Shoes Women's Shoes Ladies,KSh 571,338,Fashion
159,Fashion Ladies Sneaker Shoes Causal Shoes Buy A Size Larger Than Usual White,KSh 950,471,Fashion
160,Fashion Men Leather Loafers & Slip-Ons,KSh 750,102,Fashion
161,Waanzilish Mens Sneakers Shoes Outdoor Hiking Shoes Non-slip Sports Shoes Breathable Blue,KSh 999,426,Fashion
162,Fashion Lace Up Sneakers Men's Shoes-Black,KSh 590,407,Fashion
163,Fashion Mens Loafers Shoes Official Leather Loafer Casual Shoes Comfortable Shoes-Black,KSh 580 - KSh 699,397,Fashion
164,Fashion Men Shoes Sneakers Sport Shoes Running Sneakers Casual Shoes  Welcome To Smark,KSh 589,136,Fashion
165,Fashion Men's Long Sleeve Striped Shirt,KSh 539 - KSh 599,398,Fashion
166,Fashion Men Printed T-shirt Slim Fit,KSh 480,86,Fashion
167,Fashion Mens Long Sleeve Shirts Casual Trendy Sweatshirts Sport - Black,KSh 738,216,Fashion
168,Fashion Mens Long Sleeve Shirts Casual Trendy Sweatshirts Sport-Multicolour,KSh 880,71,Fashion
169,Fashion Mens Casual Trousers Jean Official Jogger Sports - Black,KSh 889,59,Fashion
